Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
22	Dallas Cowboys		DST	2.47	3	4	3	2	2	1	2	4	1	1	5	2	2	BYE	1	2	3	4
23	Tampa Bay Buccaneers		DST	3.06	4	5	5	1	2	3	4	3	1	BYE	1	4	4	3	4	3	1	4
24	New York Giants		DST	2.59	2	1	5	4	4	4	2	BYE	2	4	2	1	1	2	5	1	2	2
25	Carolina Panthers		DST	2.76	1	3	5	1	BYE	2	2	1	2	4	3	2	5	4	4	3	2	3
26	Cincinnati Bengals		DST	3.29	2	2	3	2	4	BYE	3	5	3	3	4	4	5	3	4	1	3	5
27	Tennessee Titans		DST	2.76	5	2	3	3	2	1	5	4	BYE	2	2	2	4	1	1	5	3	2
28	Washington Commanders		DST	2.59	2	2	2	1	3	1	BYE	2	1	3	4	4	5	2	3	5	2	2
29	Miami Dolphins		DST	2.82	5	1	3	5	4	BYE	5	3	1	1	2	5	2	1	1	4	2	3
30	Las Vegas Raiders		DST	3.18	4	4	4	3	3	2	1	5	1	2	2	5	BYE	4	2	5	4	3
31	New York Jets		DST	3.18	5	1	1	1	5	3	4	5	3	2	4	4	BYE	2	4	3	5	2
32	Arizona Cardinals		DST	2.53	4	2	1	3	1	1	2	2	2	1	3	4	2	BYE	5	4	5	1
Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
1	Brandon Aubrey	DAL	K	2.94	5	5	1	3	2	1	1	5	5	1	5	1	1	BYE	3	1	5	5
2	Cameron Dicker	LAC	K	2.94	5	5	1	1	5	1	BYE	3	3	1	5	1	2	5	1	5	1	5
3	Ka'imi Fairbairn	HOU	K	2.76	1	5	5	3	5	1	5	BYE	1	1	5	1	1	5	1	1	1	5
4	Cam Little	JAC	K	3.29	1	5	1	5	1	3	BYE	5	1	5	5	5	2	1	3	3	5	5
5	Jason Myers	SEA	K	3.06	1	5	5	1	1	5	1	2	5	5	BYE	1	3	5	1	3	5	3
6	Eddy Pineiro	SF	K	3.47	3	5	5	5	1	5	5	BYE	5	3	5	1	5	3	1	1	1	5
7	Tyler Loop	BAL	K	2.76	5	2	3	5	5	1	5	1	1	1	5	3	BYE	2	1	1	5	1
8	Cairo Santos	CHI	K	2.65	5	5	1	5	1	5	1	1	2	BYE	2	2	1	5	1	1	2	5
9	Evan McPherson	CIN	K	2.65	2	3	1	1	5	BYE	1	5	5	1	5	2	1	1	5	5	1	1
10	Jake Bates	DET	K	3.35	2	1	5	5	5	BYE	1	5	5	1	2	2	5	5	5	5	2	1
11	Andy Borregales	NE	K	2.76	1	1	1	1	5	5	2	5	1	2	BYE	1	1	5	1	5	5	5
12	Harrison Mevis	LAR	K	2.59	1	5	5	1	1	5	5	1	5	5	BYE	1	1	1	3	1	2	1
13	Chase McLaughlin	TB	K	2.88	5	1	5	1	3	1	5	5	2	BYE	2	5	1	1	2	5	3	2
14	Chris Boswell	PIT	K	2.88	5	1	5	1	5	2	2	1	BYE	5	1	5	3	1	1	5	5	1
15	Harrison Butker	KC	K	3.47	5	5	5	5	BYE	1	1	5	5	5	5	1	3	5	1	1	1	5
16	Will Reichard	MIN	K	2.76	1	2	2	5	2	BYE	5	2	1	1	1	5	5	1	2	5	5	2
17	Wil Lutz	DEN	K	2.53	1	1	3	1	1	1	5	1	5	BYE	5	1	5	5	5	1	1	1
18	Charlie Smyth	NO	K	3.35	2	1	5	5	5	5	1	BYE	1	5	2	5	1	5	2	5	5	2
19	Jake Elliott	PHI	K	3.41	5	5	2	3	1	5	3	5	5	BYE	1	3	5	5	1	3	1	5
20	Blake Grupe	IND	K	3	1	1	3	5	1	5	5	1	3	5	3	5	BYE	1	5	5	1	1
21	Chad Ryland	ARI	K	2.65	1	1	1	5	2	3	5	3	1	3	1	5	1	BYE	5	2	5	1
22	Joey Slye	TEN	K	3.06	5	1	5	1	3	5	1	5	BYE	1	3	1	5	2	5	5	1	3
23	Tyler Bass	BUF	K	3	3	2	1	1	3	5	BYE	1	5	5	5	1	1	1	2	5	5	5
24	Nick Folk	ATL	K	2.53	1	5	1	2	1	2	1	2	5	1	BYE	5	2	1	5	2	2	5
25	Zane Gonzalez	MIA	K	2.76	5	1	1	5	5	BYE	5	1	2	5	1	5	5	2	1	1	1	1
26	Ryan Fitzgerald	CAR	K	2.53	2	5	1	2	BYE	1	2	1	5	2	1	2	5	2	5	1	1	5
27	Trey Smack	GB	K	3.12	5	5	5	2	2	3	2	5	1	5	BYE	3	2	1	5	2	3	2
28	Daniel Carlson	LV	K	2.59	5	1	2	1	1	1	3	5	1	1	5	1	BYE	1	5	5	5	1
29	Ben Sauls	NYG	K	2.76	3	3	5	5	5	2	3	BYE	1	5	1	5	1	1	1	2	3	1
30	Jake Moody	WAS	K	3.35	1	3	1	5	5	1	BYE	1	3	5	5	5	5	3	5	5	1	3
31	Jason Sanders	NYJ	K	2.76	5	1	2	2	1	1	5	5	1	1	1	5	BYE	5	5	1	5	1
32	Brandon McManus	FA	K	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
33	Andre Szmyt	CLE	K	3.35	1	2	5	1	5	1	5	1	2	3	BYE	5	5	5	5	1	5	5
34	Spencer Shrader	IND	K	3	1	1	3	5	1	5	5	1	3	5	3	5	BYE	1	5	5	1	1
35	Matt Gay	LV	K	2.59	5	1	2	1	1	1	3	5	1	1	5	1	BYE	1	5	5	5	1
36	Cade York	NYJ	K	2.76	5	1	2	2	1	1	5	5	1	1	1	5	BYE	5	5	1	5	1
37	Dominic Zvada	NYG	K	2.76	3	3	5	5	5	2	3	BYE	1	5	1	5	1	1	1	2	3	1
38	Riley Patterson	MIA	K	2.76	5	1	1	5	5	BYE	5	1	2	5	1	5	5	2	1	1	1	1
39	B.T. Potter	TB	K	2.88	5	1	5	1	3	1	5	5	2	BYE	2	5	1	1	2	5	3	2
